"","Sector","Year","Site","mean","sd","se"
"1","Eastern Sector",2011,"BUNBR",1.26666666666667,2.34419241856083,1.04835472004833
"2","Eastern Sector",2011,"BUNN",0.533333333333333,0.833809387832792,0.372890894294322
"3","Eastern Sector",2011,"BUNN+",0.6,1.0555973258235,0.472077475481666
"4","Eastern Sector",2012,"BUNBR",0.666666666666667,2.09307247388913,0.936050466689952
"5","Eastern Sector",2012,"BUNN",0.133333333333333,0.351865775274498,0.157359158493889
"6","Eastern Sector",2012,"BUNN+",0,0,0
"7","Eastern Sector",2013,"BUNBR",0,0,0
"8","Eastern Sector",2013,"BUNN",0,0,0
"9","Eastern Sector",2013,"BUNN+",0,0,0
"10","Eastern Sector",2014,"BUNBR",0.466666666666667,0.915475416434127,0.409413052575327
"11","Eastern Sector",2014,"BUNN",0.266666666666667,0.593616839704664,0.265473521233645
"12","Eastern Sector",2014,"BUNN+",0,0,0
"13","Eastern Sector",2015,"BUNBR",1,1.0690449676497,0.478091443733757
"14","Eastern Sector",2015,"BUNN",1.85714285714286,2.79455252402309,1.24976188208185
"15","Eastern Sector",2015,"BUNN+",0.153846153846154,0.375533808099405,0.167943824551926
"16","Eastern Sector",2016,"BUNBR",2.53333333333333,2.2318047362958,0.998093420572682
"17","Eastern Sector",2016,"BUNN",0.133333333333333,0.351865775274498,0.157359158493889
"18","Eastern Sector",2016,"BUNN+",0.2,0.560611910581388,0.250713268211203
"19","Eastern Sector",2017,"BUNBR",2.13333333333333,1.88477610139267,0.842897497016209
"20","Eastern Sector",2017,"BUNN",0.4,0.736788397613007,0.329501788419166
"21","Eastern Sector",2017,"BUNN+",0.266666666666667,0.593616839704664,0.265473521233645
"22","Eastern Sector",2018,"BUNBR",NA,NA,NA
"23","Eastern Sector",2018,"BUNN",4.14285714285714,5.1717746226274,2.31288792410064
"24","Eastern Sector",2018,"BUNN+",1.13333333333333,1.40746310109799,0.629436633975554
"25","Eastern Sector",2019,"BUNBR",5.46666666666667,5.92653436029941,2.65042674012354
"26","Eastern Sector",2019,"BUNN",0.857142857142857,1.23145585242976,0.55072379946458
"27","Eastern Sector",2019,"BUNN+",0.666666666666667,1.17513930278601,0.525538272812244
"28","Eastern Sector",2020,"BUNBR",5.2,7.32120208708925,3.27414110874898
"29","Eastern Sector",2020,"BUNN",0.0666666666666667,0.258198889747161,0.115470053837925
"30","Eastern Sector",2020,"BUNN+",0.0714285714285714,0.267261241912424,0.119522860933439
"31","Eastern Sector",2021,"BUNBR",3.35714285714286,3.00274599599825,1.34286883324348
"32","Eastern Sector",2021,"BUNN",0.266666666666667,0.457737708217063,0.204706526287664
"33","Eastern Sector",2021,"BUNN+",1,1.13389341902768,0.50709255283711
"34","Northern Sector",2011,"JUR",0.142857142857143,0.363136519601281,0.16239958858823
"35","Northern Sector",2011,"TLC",0.714285714285714,1.11269728052837,0.497613351528119
"36","Northern Sector",2011,"TLSZ",2.6,4.86679712806218,2.17649784220956
"37","Northern Sector",2012,"JUR",2.66666666666667,2.28868854108532,1.02353263143832
"38","Northern Sector",2012,"TLC",1.54545454545455,1.80906806746658,0.80903983495589
"39","Northern Sector",2012,"TLSZ",3,2.90320020470023,1.2983506020002
"40","Northern Sector",2013,"JUR",0.0666666666666667,0.258198889747161,0.115470053837925
"41","Northern Sector",2013,"TLC",0.4,0.50709255283711,0.226778683805536
"42","Northern Sector",2013,"TLSZ",1.07692307692308,1.03774904332554,0.464095480892257
"43","Northern Sector",2014,"JUR",2.06666666666667,2.91465917308321,1.30347520845148
"44","Northern Sector",2014,"TLC",4.5,2.98070719538424,1.33301278198038
"45","Northern Sector",2014,"TLSZ",13.0666666666667,21.5256214997937,9.62655058629394
"46","Northern Sector",2015,"JUR",1.5,1.38169855941551,0.617914380653325
"47","Northern Sector",2015,"TLC",1.42857142857143,1.22249969100425,0.5467184823116
"48","Northern Sector",2015,"TLSZ",1.14285714285714,1.61040572322834,0.720195333698656
"49","Northern Sector",2016,"JUR",2,2.39045721866879,1.0690449676497
"50","Northern Sector",2016,"TLC",1.13333333333333,1.06009882737862,0.474090608177282
"51","Northern Sector",2016,"TLSZ",3.93333333333333,5.99364743072276,2.68044061765261
"52","Northern Sector",2017,"JUR",3.6,4.85209822065229,2.16992429097686
"53","Northern Sector",2017,"TLC",1.86666666666667,1.68466472572297,0.753404969202518
"54","Northern Sector",2017,"TLSZ",3.66666666666667,2.89498745782298,1.2946777499403
"55","Northern Sector",2018,"JUR",NA,NA,NA
"56","Northern Sector",2018,"TLC",3.46666666666667,5.08311865276576,2.27323976905628
"57","Northern Sector",2018,"TLSZ",NA,NA,NA
"58","Northern Sector",2019,"JUR",4.13333333333333,3.99761833858016,1.787789270633
"59","Northern Sector",2019,"TLC",1.15384615384615,1.34450448407296,0.601280684488086
"60","Northern Sector",2019,"TLSZ",5.13333333333333,5.81705210893759,2.60146478884859
"61","Northern Sector",2020,"JUR",44.7333333333333,32.7990998715049,14.6682033826979
"62","Northern Sector",2020,"TLC",16.2666666666667,15.1726571110509,6.78541853992108
"63","Northern Sector",2020,"TLSZ",11.0666666666667,7.1859651570332,3.21366131501424
"64","Northern Sector",2021,"JUR",5.15384615384615,4.11999502115706,1.84251778685357
"65","Northern Sector",2021,"TLC",2.25,2.34035739306473,1.04663964450739
"66","Northern Sector",2021,"TLSZ",13.2,5.73460672459013,2.56459409208219
"67","Southern Sector",2011,"CBBR",5.53333333333333,4.73386985557523,2.11705095874066
"68","Southern Sector",2011,"CBIL",20.8,27.7416654150395,12.4064499354167
"69","Southern Sector",2011,"CBLN",7.4,5.48764846854149,2.45415100245628
"70","Southern Sector",2011,"CBOB",7,8.37513326119992,3.7454734585325
"71","Southern Sector",2011,"CBSL",2.06666666666667,3.73146211608928,1.66876058940817
"72","Southern Sector",2012,"CBBR",0.866666666666667,0.990430401872025,0.442933941113657
"73","Southern Sector",2012,"CBIL",10.7333333333333,13.2958998334431,5.94610716992138
"74","Southern Sector",2012,"CBLN",10.7333333333333,9.46773971115045,4.23410191748133
"75","Southern Sector",2012,"CBOB",1.2,1.69873902813654,0.759699188589047
"76","Southern Sector",2013,"CBBR",0.666666666666667,0.816496580927726,0.365148371670111
"77","Southern Sector",2013,"CBIL",9.06666666666667,6.59509197018799,2.94941479264067
"78","Southern Sector",2013,"CBOB",0.933333333333333,1.03279555898864,0.461880215351701
"79","Southern Sector",2014,"CBBR",3.53333333333333,2.16684980910955,0.96904469404028
"80","Southern Sector",2014,"CBIL",18.6,10.7291325704498,4.79821395342654
"81","Southern Sector",2014,"CBLN",6.2,7.62701963885164,3.41090687563963
"82","Southern Sector",2014,"CBOB",9.33333333333333,7.69662882293899,3.44203704913516
"83","Southern Sector",2015,"CBBR",0.416666666666667,0.90033663737852,0.40264278476239
"84","Southern Sector",2015,"CBIL",8.26666666666667,7.74104705603896,3.46190148686555
"85","Southern Sector",2015,"CBLN",2.07142857142857,1.89997108132995,0.849692898627511
"86","Southern Sector",2015,"CBOB",2,3.96412483586046,1.77281052085584
"87","Southern Sector",2016,"CBBR",2.53333333333333,1.99523241276609,0.892295061171178
"88","Southern Sector",2016,"CBIL",NA,NA,NA
"89","Southern Sector",2016,"CBLN",2.93333333333333,2.57645012334709,1.15222352328836
"90","Southern Sector",2016,"CBOB",1.33333333333333,1.83873662631503,0.822308017831807
"91","Southern Sector",2017,"CBBR",1.66666666666667,2.63673679998231,1.17918454470714
"92","Southern Sector",2017,"CBIL",4.86666666666667,3.15926453165169,1.41286605033544
"93","Southern Sector",2017,"CBLN",4.86666666666667,5.60442002436682,2.50637282978905
"94","Southern Sector",2017,"CBOB",0.8,1.01418510567422,0.453557367611073
"95","Southern Sector",2018,"CBBR",2.13333333333333,2.19956705696717,0.983676292089551
"96","Southern Sector",2018,"CBIL",9.8,6.50494317533103,2.9090990259627
"97","Southern Sector",2018,"CBLN",6.8,8.89783280194838,3.9792317995168
"98","Southern Sector",2018,"CBOB",NA,NA,NA
"99","Southern Sector",2019,"CBBR",1.06666666666667,1.16291915126588,0.520073254913373
"100","Southern Sector",2019,"CBIL",19.6,17.2370033855739,7.70862225970745
"101","Southern Sector",2019,"CBLN",9,10.9479287016834,4.89606255795701
"102","Southern Sector",2019,"CBOB",1.06666666666667,1.38701460836198,0.620291790016525
"103","Southern Sector",2020,"CBBR",1.33333333333333,1.43548112513055,0.641966675241957
"104","Southern Sector",2020,"CBIL",7.33333333333333,3.2659863237109,1.46059348668044
"105","Southern Sector",2020,"CBLN",5.07142857142857,4.12243926510816,1.84361088597922
"106","Southern Sector",2020,"CBOB",1.2,1.14642300844222,0.512695955569325
"107","Southern Sector",2021,"CBBR",3.85714285714286,4.27617987059879,1.91236577493503
"108","Southern Sector",2021,"CBIL",32.6666666666667,19.5545634668983,8.7450666364637
"109","Southern Sector",2021,"CBLN",5.6,4.20543865556428,1.88072934180941
"110","Southern Sector",2021,"CBOB",2.66666666666667,3.51865775274498,1.57359158493889
"111","Eastern Sector",2009,"BUNBR",29.09942639,NA,NA
"112","Eastern Sector",2009,"BUNN",38.10133843,NA,NA
"113","Eastern Sector",2009,"BUNN+",19.08795411,NA,NA
"114","Southern Sector",2009,"CBBR",3.355640535,NA,NA
"115","Southern Sector",2009,"CBIL",3.776290631,NA,NA
"116","Southern Sector",2009,"CBLN",9.328871893,NA,NA
"117","Southern Sector",2009,"CBOB",1.336520076,NA,NA
"118","Southern Sector",2009,"CBSL",2.009560229,NA,NA
"119","Northern Sector",2009,"JUR",1.588910134,NA,NA
"120","Northern Sector",2009,"TLC",2.009560229,NA,NA
"121","Northern Sector",2009,"TLSZ",8.151051625,NA,NA
"122","Eastern Sector",2010,"BUNBR",23.60149429,NA,NA
"123","Eastern Sector",2010,"BUNN",4.364987359,NA,NA
"124","Eastern Sector",2010,"BUNN+",6.385172945,NA,NA
"125","Southern Sector",2010,"CBBR",1.493301131,NA,NA
"126","Southern Sector",2010,"CBIL",2.54739206,NA,NA
"127","Southern Sector",2010,"CBLN",2.709712865,NA,NA
"128","Southern Sector",2010,"CBOB",1.533943477,NA,NA
"129","Southern Sector",2010,"CBSL",2.142211488,NA,NA
"130","Northern Sector",2010,"JUR",1.412513594,NA,NA
"131","Northern Sector",2010,"TLC",1.202838863,NA,NA
"132","Northern Sector",2010,"TLSZ",8.797861673,NA,NA
