Sample,Family,Genus,Species,Count,Transect
SBY_20110622_SB_DOV_1,Nemipteridae,Pentapodus,vitta,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lutescens,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lunare,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,1,1
SBY_20110622_SB_DOV_1,Labridae,Labroides,dimidiatus,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lutescens,1,1
SBY_20110622_SB_DOV_1,Haemulidae,Plectorhinchus,flavomaculatus,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lunare,1,1
SBY_20110622_SB_DOV_1,Scaridae,Scarus,ghobban,1,1
SBY_20110622_SB_DOV_1,Acanthuridae,Acanthurus,grammoptilus,1,1
SBY_20110622_SB_DOV_1,Acanthuridae,Acanthurus,grammoptilus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,1,1
SBY_20110622_SB_DOV_1,Chaetodontidae,Chaetodon,assarius,1,1
SBY_20110622_SB_DOV_1,Chaetodontidae,Chaetodon,assarius,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lutescens,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,1,1
SBY_20110622_SB_DOV_1,Acanthuridae,Acanthurus,grammoptilus,1,1
SBY_20110622_SB_DOV_1,Acanthuridae,Acanthurus,triostegus,1,1
SBY_20110622_SB_DOV_1,Labridae,Anampses,melanurus,1,1
SBY_20110622_SB_DOV_1,Chaetodontidae,Chaetodon,assarius,5,1
SBY_20110622_SB_DOV_1,Scaridae,Chlorurus,sordidus,28,1
SBY_20110622_SB_DOV_1,Labridae,Choerodon,rubescens,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Chromis,atripectoralis,10,1
SBY_20110622_SB_DOV_1,Labridae,Coris,auricularis,3,1
SBY_20110622_SB_DOV_1,Pomacentridae,Dascyllus,reticulatus,7,1
SBY_20110622_SB_DOV_1,Pomacentridae,Dascyllus,trimaculatus,1,1
SBY_20110622_SB_DOV_1,Pomacentridae,Dascyllus,trimaculatus,2,1
SBY_20110622_SB_DOV_1,Labridae,Halichoeres,nebulosus,2,1
SBY_20110622_SB_DOV_1,Kyphosidae,Kyphosus,cornelii,1,1
SBY_20110622_SB_DOV_1,Labridae,Labroides,dimidiatus,3,1
SBY_20110622_SB_DOV_1,Pomacentridae,Parma,occidentalis,1,1
SBY_20110622_SB_DOV_1,Mullidae,Parupeneus,spilurus,4,1
SBY_20110622_SB_DOV_1,Nemipteridae,Pentapodus,vitta,4,1
SBY_20110622_SB_DOV_1,Haemulidae,Plectorhinchus,flavomaculatus,3,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,8,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,coelestis,63,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,moluccensis,1,1
SBY_20110622_SB_DOV_1,Scaridae,Scarus,ghobban,8,1
SBY_20110622_SB_DOV_1,Pomacentridae,Stegastes,obreptus,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lunare,1,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lunare,18,1
SBY_20110622_SB_DOV_1,Labridae,Thalassoma,lutescens,3,1
SBY_20110622_SB_DOV_1,Labridae,Choerodon,spp,14,1
SBY_20110622_SB_DOV_1,Serranidae,Epinephelus,spp,3,1
SBY_20110622_SB_DOV_1,Haemulidae,Unknown,spp,1,1
SBY_20110622_SB_DOV_1,Kyphosidae,Kyphosus,spp,1,1
SBY_20110622_SB_DOV_1,Labridae,Unknown,spp,1,1
SBY_20110622_SB_DOV_1,Labridae,Unknown,spp,21,1
SBY_20110622_SB_DOV_1,Pomacentridae,Unknown,spp,2,1
SBY_20110622_SB_DOV_1,Pomacentridae,Unknown,spp,3,1
SBY_20110622_SB_DOV_1,Pomacentridae,Pomacentrus,spp,1,1
SBY_20110622_SB_DOV_1,Scaridae,Unknown,spp,81,1
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,bengalensis,1,2
SBY_20110622_SB_DOV_2,Labridae,Thalassoma,lunare,1,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,1,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,1,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,1,2
SBY_20110622_SB_DOV_2,Labridae,Thalassoma,lutescens,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,bengalensis,1,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Chromis,westaustralis,1,2
SBY_20110622_SB_DOV_2,Kyphosidae,Kyphosus,cornelii,1,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,1,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,1,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,1,2
SBY_20110622_SB_DOV_2,Scaridae,Scarus,ghobban,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Stegastes,obreptus,1,2
SBY_20110622_SB_DOV_2,Labridae,Thalassoma,lutescens,1,2
SBY_20110622_SB_DOV_2,Labridae,Unknown,spp,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,1,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,1,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,1,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,trifascialis,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,reticulatus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,trimaculatus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,trimaculatus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,trimaculatus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,1,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,bengalensis,5,2
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,sexfasciatus,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,vaigiensis,1,2
SBY_20110622_SB_DOV_2,Acanthuridae,Acanthurus,triostegus,1,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,assarius,2,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,auriga,1,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,plebeius,7,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,trifascialis,1,2
SBY_20110622_SB_DOV_2,Chaetodontidae,Chaetodon,trifascialis,2,2
SBY_20110622_SB_DOV_2,Scaridae,Chlorurus,sordidus,70,2
SBY_20110622_SB_DOV_2,Labridae,Choerodon,rubescens,1,2
SBY_20110622_SB_DOV_2,Pomacentridae,Chromis,westaustralis,5,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,reticulatus,6,2
SBY_20110622_SB_DOV_2,Pomacentridae,Dascyllus,trimaculatus,5,2
SBY_20110622_SB_DOV_2,Serranidae,Epinephelus,rivulatus,1,2
SBY_20110622_SB_DOV_2,Labridae,Halichoeres,nebulosus,2,2
SBY_20110622_SB_DOV_2,Kyphosidae,Kyphosus,cornelii,3,2
SBY_20110622_SB_DOV_2,Labridae,Labroides,dimidiatus,1,2
SBY_20110622_SB_DOV_2,Mullidae,Parupeneus,indicus,1,2
SBY_20110622_SB_DOV_2,Nemipteridae,Pentapodus,vitta,12,2
SBY_20110622_SB_DOV_2,Haemulidae,Plectorhinchus,flavomaculatus,5,2
SBY_20110622_SB_DOV_2,Pomacentridae,Plectroglyphidodon,johnstonianus,2,2
SBY_20110622_SB_DOV_2,Pomacentridae,Pomacentrus,coelestis,47,2
SBY_20110622_SB_DOV_2,Scaridae,Scarus,ghobban,5,2
SBY_20110622_SB_DOV_2,Pomacentridae,Stegastes,obreptus,5,2
SBY_20110622_SB_DOV_2,Labridae,Thalassoma,lunare,19,2
SBY_20110622_SB_DOV_2,Labridae,Thalassoma,lutescens,5,2
SBY_20110622_SB_DOV_2,Pomacentridae,Abudefduf,spp,1,2
SBY_20110622_SB_DOV_2,Labridae,Choerodon,spp,2,2
SBY_20110622_SB_DOV_2,Labridae,Unknown,spp,12,2
SBY_20110622_SB_DOV_2,Pomacentridae,Unknown,spp,2,2
SBY_20110622_SB_DOV_2,Scaridae,Unknown,spp,3,2
SBY_20110622_SB_DOV_3,Haemulidae,Plectorhinchus,flavomaculatus,1,3
SBY_20110622_SB_DOV_3,Labridae,Thalassoma,lutescens,1,3
SBY_20110622_SB_DOV_3,Kyphosidae,Kyphosus,cornelii,1,3
SBY_20110622_SB_DOV_3,Kyphosidae,Kyphosus,cornelii,1,3
SBY_20110622_SB_DOV_3,Scaridae,Scarus,ghobban,1,3
SBY_20110622_SB_DOV_3,Chaetodontidae,Chaetodon,assarius,1,3
SBY_20110622_SB_DOV_3,Scaridae,Chlorurus,sordidus,1,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,triostegus,1,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,triostegus,1,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,triostegus,1,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,grammoptilus,1,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,grammoptilus,18,3
SBY_20110622_SB_DOV_3,Acanthuridae,Acanthurus,triostegus,30,3
SBY_20110622_SB_DOV_3,Chaetodontidae,Chaetodon,assarius,3,3
SBY_20110622_SB_DOV_3,Scaridae,Chlorurus,sordidus,29,3
SBY_20110622_SB_DOV_3,Labridae,Choerodon,rubescens,2,3
SBY_20110622_SB_DOV_3,Labridae,Coris,auricularis,1,3
SBY_20110622_SB_DOV_3,Labridae,Halichoeres,nebulosus,4,3
SBY_20110622_SB_DOV_3,Labridae,Hemigymnus,fasciatus,1,3
SBY_20110622_SB_DOV_3,Kyphosidae,Kyphosus,cornelii,4,3
SBY_20110622_SB_DOV_3,Mullidae,Parupeneus,spilurus,3,3
SBY_20110622_SB_DOV_3,Nemipteridae,Pentapodus,vitta,2,3
SBY_20110622_SB_DOV_3,Haemulidae,Plectorhinchus,flavomaculatus,1,3
SBY_20110622_SB_DOV_3,Pomacentridae,Pomacentrus,coelestis,2,3
SBY_20110622_SB_DOV_3,Scaridae,Scarus,ghobban,7,3
SBY_20110622_SB_DOV_3,Pomacentridae,Stegastes,obreptus,3,3
SBY_20110622_SB_DOV_3,Labridae,Thalassoma,lunare,8,3
SBY_20110622_SB_DOV_3,Labridae,Thalassoma,lutescens,2,3
SBY_20110622_SB_DOV_3,Labridae,Choerodon,spp,8,3
SBY_20110622_SB_DOV_3,Labridae,Unknown,spp,63,3
SBY_20110622_SB_DOV_3,Scaridae,Unknown,spp,8,3
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,1,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Pomacanthidae,Pomacanthus,semicirculatus,1,4
SBY_20110622_SB_DOV_4,Labridae,Coris,auricularis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,trimaculatus,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Labridae,Choerodon,rubescens,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,reticulatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,plebeius,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,westaustralis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,westaustralis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Stegastes,obreptus,1,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,bengalensis,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,385,4
SBY_20110622_SB_DOV_4,Pomacentridae,Abudefduf,sexfasciatus,93,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,8,4
SBY_20110622_SB_DOV_4,Acanthuridae,Acanthurus,grammoptilus,1,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,auriga,1,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,plebeius,1,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,plebeius,1,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,plebeius,4,4
SBY_20110622_SB_DOV_4,Chaetodontidae,Chaetodon,trifascialis,2,4
SBY_20110622_SB_DOV_4,Scaridae,Chlorurus,sordidus,2,4
SBY_20110622_SB_DOV_4,Scaridae,Chlorurus,sordidus,2,4
SBY_20110622_SB_DOV_4,Labridae,Choerodon,rubescens,1,4
SBY_20110622_SB_DOV_4,Labridae,Choerodon,rubescens,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,westaustralis,23,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,westaustralis,11,4
SBY_20110622_SB_DOV_4,Labridae,Coris,auricularis,2,4
SBY_20110622_SB_DOV_4,Labridae,Coris,auricularis,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,reticulatus,1,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,reticulatus,14,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,trimaculatus,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,trimaculatus,2,4
SBY_20110622_SB_DOV_4,Labridae,Halichoeres,nebulosus,4,4
SBY_20110622_SB_DOV_4,Labridae,Halichoeres,nebulosus,4,4
SBY_20110622_SB_DOV_4,Kyphosidae,Kyphosus,cornelii,3,4
SBY_20110622_SB_DOV_4,Kyphosidae,Kyphosus,cornelii,1,4
SBY_20110622_SB_DOV_4,Kyphosidae,Kyphosus,sydneyanus,2,4
SBY_20110622_SB_DOV_4,Labridae,Labroides,dimidiatus,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Neoglyphidodon,melas,1,4
SBY_20110622_SB_DOV_4,Mullidae,Parupeneus,spilurus,1,4
SBY_20110622_SB_DOV_4,Mullidae,Parupeneus,spilurus,2,4
SBY_20110622_SB_DOV_4,Nemipteridae,Pentapodus,vitta,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,12,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,coelestis,77,4
SBY_20110622_SB_DOV_4,Scaridae,Scarus,ghobban,2,4
SBY_20110622_SB_DOV_4,Pomacentridae,Stegastes,obreptus,9,4
SBY_20110622_SB_DOV_4,Pomacentridae,Stegastes,obreptus,9,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,11,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lunare,14,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lutescens,5,4
SBY_20110622_SB_DOV_4,Labridae,Thalassoma,lutescens,5,4
SBY_20110622_SB_DOV_4,Pomacentridae,Amphiprion,spp,2,4
SBY_20110622_SB_DOV_4,Labridae,Choerodon,spp,6,4
SBY_20110622_SB_DOV_4,Labridae,Choerodon,spp,3,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,spp,150,4
SBY_20110622_SB_DOV_4,Pomacentridae,Chromis,spp,10,4
SBY_20110622_SB_DOV_4,Pomacentridae,Dascyllus,spp,2,4
SBY_20110622_SB_DOV_4,Kyphosidae,Kyphosus,spp,1,4
SBY_20110622_SB_DOV_4,Labridae,Unknown,spp,9,4
SBY_20110622_SB_DOV_4,Labridae,Unknown,spp,18,4
SBY_20110622_SB_DOV_4,Pomacentridae,Unknown,spp,3,4
SBY_20110622_SB_DOV_4,Pomacentridae,Unknown,spp,3,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,spp,4,4
SBY_20110622_SB_DOV_4,Pomacentridae,Pomacentrus,spp,1,4
SBY_20110622_SB_DOV_4,Scaridae,Unknown,spp,4,4
SBY_20110622_SB_DOV_4,Scaridae,Unknown,spp,3,4
SBY_20110622_SB_DOV_5,Labridae,Thalassoma,lunare,1,5
SBY_20110622_SB_DOV_5,Nemipteridae,Pentapodus,vitta,1,5
SBY_20110622_SB_DOV_5,Labridae,Thalassoma,lunare,1,5
SBY_20110622_SB_DOV_5,Labridae,Thalassoma,lutescens,1,5
SBY_20110622_SB_DOV_5,Nemipteridae,Pentapodus,vitta,1,5
SBY_20110622_SB_DOV_5,Pomacentridae,Pomacentrus,coelestis,1,5
SBY_20110622_SB_DOV_5,Labridae,Coris,auricularis,1,5
SBY_20110622_SB_DOV_5,Nemipteridae,Pentapodus,vitta,1,5
SBY_20110622_SB_DOV_5,Scaridae,Chlorurus,sordidus,1,5
SBY_20110622_SB_DOV_5,Labridae,Choerodon,rubescens,1,5
SBY_20110622_SB_DOV_5,Labridae,Coris,auricularis,1,5
SBY_20110622_SB_DOV_5,Pomacentridae,Dascyllus,reticulatus,1,5
SBY_20110622_SB_DOV_5,Labridae,Thalassoma,lunare,1,5
